Restaurant,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Max's Bistro & Bar,"[[960, 1440]]","[[0, 180], [1035, 1320]]","[[420, 1410]]","[[1035, 1320]]",[],"[[1005, 1065]]","[[825, 1320]]"
Five Restaurant,[],[],"[[780, 1350]]","[[555, 1275]]","[[1035, 1440]]","[[0, 120], [585, 1110]]","[[405, 570]]"
Bistro 234,"[[735, 780]]","[[810, 1440]]","[[0, 720], [945, 1185]]","[[780, 840]]","[[855, 1440]]","[[0, 765], [1035, 1440]]","[[0, 120], [375, 615]]"
The Beach Club Restaurant,"[[495, 1440]]","[[0, 180], [975, 1440]]","[[0, 120], [915, 990]]","[[300, 675]]","[[975, 1440]]","[[0, 120], [870, 1230]]","[[705, 1410]]"
Chief's Luau,[],"[[360, 720]]","[[435, 705]]",[],"[[1005, 1440]]","[[0, 180], [435, 705]]","[[1005, 1140]]"
Tommy Bahama's Restaurant & Bar - Wailea Maui,"[[1065, 1440]]","[[0, 105], [540, 1050]]","[[705, 1080]]","[[420, 765]]","[[1065, 1440]]","[[0, 105], [420, 765]]",[]
Restaurant Suntory,"[[570, 810]]","[[345, 960]]","[[840, 1350]]","[[570, 810]]","[[300, 1380]]","[[570, 810]]","[[1035, 1215]]"
The Signature Prime Steak & Seafood,"[[990, 1125]]","[[705, 1170]]","[[645, 855]]",[],"[[1005, 1140]]","[[495, 825]]","[[810, 1290]]"
Da Smokehouse,"[[495, 1215]]","[[630, 1200]]",[],"[[435, 630]]",[],"[[405, 555]]","[[630, 1200]]"
Kamuela Provision Co.,"[[990, 1335]]","[[495, 1035]]","[[990, 1335]]","[[990, 1440]]","[[0, 225], [885, 1440]]","[[0, 150], [630, 735]]",[]
Ruth's Chris Steak House - Wailea,"[[765, 1320]]",[],"[[675, 1440]]","[[0, 195], [765, 1440]]","[[0, 735], [840, 1440]]","[[0, 195], [660, 900]]","[[585, 1320]]"
Taormina Sicilian Cuisine,"[[810, 1440]]","[[0, 720], [585, 675]]","[[810, 1440]]","[[0, 720], [1035, 1080]]","[[975, 1065]]","[[345, 645]]","[[780, 870]]"
Original Roy's Hawaii Kai,"[[885, 1440]]","[[0, 75]]","[[1035, 1200]]","[[660, 1170]]","[[720, 855]]","[[855, 1320]]","[[1035, 1200]]"
Longhi's - Lahaina,[],"[[750, 1440]]","[[0, 75]]","[[765, 1440]]","[[0, 120]]","[[630, 1425]]","[[660, 855]]"
Giovanni Pastrami,"[[870, 1200]]","[[705, 1380]]","[[600, 945]]","[[465, 510]]","[[465, 540]]","[[540, 735]]","[[465, 540]]"
Gannon's,[],"[[705, 810]]","[[720, 1185]]","[[705, 810]]","[[420, 570]]","[[720, 1185]]","[[615, 1350]]"
Top of Waikiki,"[[435, 795]]","[[675, 1440]]","[[435, 795], [0, 195]]",[],[],"[[930, 1050]]","[[510, 795]]"
Kula Lodge & Restaurant Inc.,[],"[[345, 570]]","[[1035, 1440]]","[[0, 120]]","[[465, 1365]]","[[1035, 1440]]","[[0, 750], [705, 1095]]"
DUO - Steak & Seafood,"[[915, 1350]]","[[750, 1140]]","[[420, 1245]]","[[300, 360]]","[[615, 990]]","[[825, 1440]]","[[615, 990], [0, 750]]"
Jimmy Buffett's Waikiki,"[[945, 1305]]","[[525, 1365]]","[[300, 1425]]","[[1065, 1095]]","[[420, 1230]]","[[1065, 1095]]","[[960, 1215]]"
Gyu-Kaku - Kapiolani,"[[555, 780]]","[[375, 1335]]","[[1065, 1440]]","[[0, 735], [480, 705]]","[[960, 1440]]","[[555, 780], [0, 120]]","[[360, 1245]]"
BLT Steak - Waikiki,"[[450, 1185], [0, 165]]",[],"[[720, 1275]]","[[555, 930]]","[[660, 1440]]","[[0, 75], [450, 690]]","[[360, 1440]]"
Town,"[[915, 1380], [0, 90]]","[[345, 1395]]","[[780, 1440]]","[[0, 195], [570, 1290]]","[[720, 1365]]","[[1035, 1350]]","[[330, 1440]]"
Oasis,"[[300, 1440]]","[[0, 195], [690, 1230]]","[[300, 1440]]","[[0, 195], [540, 1260]]","[[300, 1440]]","[[0, 195], [795, 1155]]","[[315, 435]]"
Luau at Royal Kona Resort,[],"[[405, 570]]","[[810, 1020]]","[[405, 585]]","[[705, 750]]","[[885, 1200]]","[[660, 1065]]"
Legends Terrace Dining Buffet,"[[975, 1290], [0, 735]]","[[750, 750]]","[[1005, 1440]]","[[0, 735], [585, 1155]]","[[480, 630]]","[[975, 1290]]","[[1005, 1440]]"
Ruth's Chris Steak House - Waikiki Beach Walk,"[[1020, 1320]]","[[615, 915]]","[[1020, 1320]]","[[825, 1440]]","[[0, 180], [960, 1440]]","[[0, 195], [420, 675]]",[]
Side Street Inn Kapahulu,[],[],[],"[[1005, 1350]]","[[810, 1035]]","[[435, 1440]]","[[0, 120], [615, 660]]"
Fish Hopper - Kailua-Kona,"[[795, 900]]","[[300, 510]]","[[1005, 1125]]","[[915, 1440]]","[[795, 900], [0, 180]]","[[1005, 1125]]","[[540, 600]]"
To Thai For,[],"[[405, 510]]",[],"[[390, 630]]","[[390, 1440]]","[[0, 90], [690, 1335]]","[[660, 750]]"
Mulligans on the Blue,[],"[[825, 1065]]","[[780, 1350]]","[[375, 975]]","[[930, 1410]]","[[825, 1065]]","[[675, 1185]]"
Wolfgang's Steak House - Waikiki Beach ,"[[0, 60]]","[[360, 495]]",[],"[[795, 1005]]","[[540, 795]]","[[645, 870]]","[[1035, 1440]]"
Shore Bird Restaurant & Beach Bar,[],"[[975, 1170]]","[[435, 1215]]","[[810, 960]]","[[435, 1215]]","[[750, 1440]]","[[0, 75], [975, 1230]]"
Kimo's Restaurant Maui,[],[],"[[375, 1005]]",[],"[[990, 1440]]","[[0, 90], [360, 1440]]","[[0, 210], [705, 915]]"
Azure - The Royal Hawaiian,"[[960, 1380], [0, 225]]","[[435, 525]]","[[900, 1275]]","[[915, 1020]]","[[435, 525]]","[[1020, 1440]]","[[0, 210], [840, 1440]]"
Nobu Waikiki,"[[390, 495]]","[[540, 720]]",[],"[[630, 975]]","[[390, 495]]","[[420, 600]]","[[465, 750]]"
Chef Mavro,"[[630, 1425]]","[[630, 1440]]","[[630, 1425], [0, 135]]","[[495, 795]]","[[450, 630]]","[[495, 795]]","[[405, 1125]]"
Mauna Kea - Luau,"[[345, 630], [0, 105]]","[[420, 1155]]","[[645, 840]]","[[345, 630]]","[[930, 1395]]","[[585, 1155]]","[[735, 1440]]"
Hawaii Prince - Hakone,"[[645, 855]]",[],"[[525, 1290]]","[[645, 855]]","[[750, 1440]]","[[0, 105], [375, 540]]","[[690, 720]]"
Sushi Sasabune Hawaii,[],[],"[[510, 1080]]","[[945, 1275]]","[[855, 1440]]","[[0, 75], [720, 1305]]","[[750, 1425]]"
Lava Lava Beach Club,[],"[[330, 1335]]",[],"[[1065, 1275]]","[[990, 1410]]","[[375, 990]]","[[975, 1035]]"
Azul,"[[450, 900]]",[],"[[510, 1440]]","[[0, 165], [990, 1440]]","[[0, 750]]","[[720, 1440]]","[[0, 60], [435, 885]]"
ONE FORTY,"[[825, 915]]","[[825, 1365]]","[[645, 1410]]","[[675, 915]]","[[825, 1440]]","[[0, 120], [465, 1155]]","[[360, 735]]"
Hilo Bay Cafe,"[[690, 1440]]","[[0, 90], [990, 1440]]","[[0, 765], [1035, 1440]]","[[0, 210], [480, 1200]]","[[735, 1410]]","[[600, 990]]","[[1035, 1365]]"
Grown – A Restaurant for the Community,"[[405, 1080], [0, 75]]","[[525, 1290]]","[[600, 1155]]","[[390, 1065]]","[[525, 1290]]","[[540, 1035]]","[[825, 1440]]"
DK Steak House,[],"[[705, 1440]]","[[0, 90]]","[[300, 465]]","[[750, 1440]]","[[705, 1440], [0, 105]]","[[0, 90], [630, 1350]]"
Capische,"[[1065, 1380]]",[],[],[],"[[1035, 1395]]","[[600, 1170]]","[[705, 1260]]"
Kona Kai Sushi,"[[450, 510]]","[[810, 1410]]","[[1005, 1305]]","[[750, 870]]","[[810, 1410]]","[[420, 765]]","[[435, 1320]]"
The Dining Room - Four Seasons Lanai,"[[495, 1215]]","[[600, 1440]]","[[0, 225], [600, 810]]","[[885, 1380]]","[[600, 810]]","[[690, 1035]]","[[315, 1035]]"
Ruth's Chris Steak House - Downtown Honolulu,"[[600, 1440]]","[[0, 105], [690, 1230]]","[[855, 1170]]","[[1005, 1440]]","[[0, 135], [555, 900]]","[[1005, 1440]]","[[0, 135], [330, 930]]"
Roy's Waikiki,"[[1035, 1170], [0, 150]]","[[465, 1440]]","[[1035, 1170], [0, 135]]","[[780, 900]]","[[360, 420]]","[[690, 990]]","[[600, 1440]]"
Beachhouse - Moana Surfrider,"[[975, 1335], [0, 765]]","[[900, 1440]]","[[0, 150]]","[[510, 870]]","[[750, 1440]]","[[975, 1335], [0, 90]]","[[900, 1440]]"
Luau - Grand Hyatt,"[[720, 1440]]","[[0, 165], [855, 1320]]","[[765, 825]]","[[540, 1440]]","[[0, 60], [555, 870]]","[[855, 1320]]","[[555, 870]]"
Star of Honolulu - Five Star,"[[630, 1410], [0, 75]]","[[600, 855]]","[[615, 885]]","[[420, 870]]","[[675, 1440]]","[[0, 75], [705, 765]]","[[675, 1440]]"
Mama's Fish House,"[[915, 1440]]","[[0, 150], [690, 1080]]",[],"[[540, 1305]]","[[915, 1440]]","[[0, 150], [315, 1140]]","[[405, 1065]]"
South Pacific Dinner Theatre,"[[405, 720]]","[[660, 765]]","[[915, 1425]]","[[660, 765]]","[[555, 600]]","[[600, 1110]]",[]
Tahiti Nui - Luau,"[[375, 765], [0, 720]]","[[300, 600]]","[[375, 765]]","[[615, 1095]]",[],"[[435, 1170]]","[[960, 1440]]"
Sugar Cane Maui,"[[600, 1380]]","[[960, 1170]]","[[825, 1050]]","[[600, 1380]]","[[960, 1170]]","[[825, 1050]]",[]
Hapuna - Special Events,"[[405, 900]]","[[645, 690]]","[[900, 1440]]","[[0, 75]]","[[495, 1305]]",[],"[[720, 810]]"
Michel's at the Colony Surf,"[[720, 1320]]","[[795, 1320]]","[[840, 1410]]","[[630, 1050]]","[[1050, 1185]]","[[855, 1020]]",[]
Island Breeze Luau at the King Kamehameha Hotel,"[[1035, 1320]]","[[645, 660]]","[[870, 1440]]","[[645, 660], [0, 165]]","[[645, 1380]]","[[1035, 1320]]","[[645, 1380]]"
Alan Wong's Restaurant,"[[615, 1440]]","[[0, 150]]","[[615, 1440]]","[[0, 195], [570, 1395]]","[[690, 900]]",[],"[[615, 930]]"
Star of Honolulu - Premier Whale & Lunch,"[[315, 960]]","[[870, 1305]]","[[420, 780]]",[],"[[675, 945]]","[[840, 1440]]","[[0, 720], [675, 900]]"
Kai Market - Sheraton Waikiki,"[[510, 1380]]","[[930, 1035]]","[[555, 735]]","[[510, 1380]]","[[825, 1440]]","[[930, 1035], [0, 120]]","[[555, 735]]"
Aulii Luau,[],"[[405, 1260]]","[[405, 1185]]","[[1035, 1440]]","[[405, 1260], [0, 150]]","[[735, 930]]","[[930, 975]]"
Kauai Grill - St. Regis - Hawaii,"[[765, 1350]]","[[750, 1410]]","[[510, 1065]]","[[495, 1350]]","[[525, 1410]]","[[750, 1410]]","[[645, 915]]"
Alan Wong’s Amasia - Grand Wailea - Waldorf Astoria,"[[540, 795], [0, 180]]","[[1065, 1260]]","[[390, 1440]]","[[0, 210], [375, 825]]","[[330, 1440]]","[[0, 180], [300, 585]]","[[330, 1440]]"
Roy's Poipu Bar & Grill,[],"[[795, 1440]]","[[0, 75], [465, 1440]]","[[0, 180], [480, 720]]",[],"[[780, 930]]","[[600, 1230]]"
Norio's - The Fairmont Orchid - Kohala Coast,"[[495, 705]]","[[975, 1065]]","[[435, 855]]","[[300, 585]]","[[435, 855]]","[[930, 1215]]","[[1020, 1245]]"
Bistro Molokini - Grand Wailea - Waldorf Astoria,"[[315, 975]]","[[300, 660]]","[[600, 780]]","[[705, 765]]","[[555, 1440]]","[[0, 105], [360, 1320]]","[[930, 1365]]"
Ushio-tei,[],[],"[[900, 1425]]",[],"[[1050, 1440]]","[[0, 120], [885, 975]]",[]
Longhi's - Wailea,"[[1050, 1440]]","[[0, 195], [300, 1185]]","[[555, 1305]]","[[780, 1365]]","[[1050, 1440]]","[[0, 195], [870, 1305]]","[[465, 1185]]"
Hiroshi Eurasion Tapas,"[[645, 1440]]","[[0, 75], [540, 1020]]","[[645, 1440]]","[[0, 75], [1065, 1110]]","[[345, 540]]","[[330, 390]]","[[540, 1020]]"
MALA - Wailea Beach Marriott  Resort,"[[825, 1440]]","[[0, 75], [495, 705]]","[[495, 1440]]","[[0, 195], [975, 1230]]","[[825, 1440]]","[[0, 75], [585, 750]]","[[360, 690]]"
Dazoo,"[[555, 675]]","[[525, 1125]]","[[630, 960]]","[[525, 1125]]","[[915, 1440]]","[[0, 75], [480, 855]]","[[480, 870]]"
Lahaina Grill,"[[915, 1440], [0, 195]]","[[0, 180], [300, 645]]","[[600, 1140]]","[[615, 1440]]","[[0, 135], [945, 1440]]","[[0, 750], [900, 1335]]","[[720, 1440]]"
53 by the Sea,"[[735, 1065], [0, 60]]","[[345, 1110]]","[[570, 1440]]","[[0, 135], [675, 1440]]","[[570, 1440], [0, 60]]","[[0, 135], [990, 1440]]","[[675, 1440], [0, 720]]"
The Modern Honolulu,"[[735, 1350], [0, 180]]",[],"[[420, 1140]]","[[555, 735]]","[[660, 795]]","[[990, 1350]]","[[870, 1440]]"
Hukilau Lanai,"[[0, 75]]","[[360, 1185]]","[[465, 795]]","[[690, 750]]","[[390, 1200]]","[[1065, 1230]]","[[780, 1440]]"
Luau - Royal Lahaina Resort,"[[495, 780]]","[[795, 1290]]","[[360, 1365]]","[[795, 1290]]",[],"[[645, 945]]","[[645, 1335]]"
La Mer at Halekulani,"[[450, 1440]]","[[0, 225], [825, 1050]]","[[750, 750]]","[[825, 1440]]","[[0, 150], [555, 780]]","[[960, 1440]]","[[0, 165], [1020, 1380]]"
Nobu Lanai - Four Seasons Lanai,[],"[[300, 1440]]","[[0, 225]]","[[1065, 1440]]","[[0, 60], [540, 1080]]","[[315, 1440]]","[[0, 150], [555, 885]]"
Hapuna-Hakone,"[[525, 585], [0, 210]]",[],"[[300, 870]]","[[675, 1365]]","[[645, 1440]]","[[0, 195], [600, 900]]","[[480, 1440]]"
Maui Thai Bistro,"[[1020, 1215]]","[[600, 855]]","[[465, 1275]]","[[1020, 1215]]","[[405, 1245]]","[[585, 840]]",[]
Gaylord's at Kilohana,"[[900, 1095]]","[[660, 780]]","[[465, 675]]","[[645, 960]]","[[465, 675]]","[[600, 1440]]","[[0, 180], [420, 1155]]"
Ka 'Ikena Restaurant at Kapiolani Community College,"[[900, 1440]]","[[0, 60], [435, 1065]]","[[780, 1305]]","[[435, 1065]]","[[900, 1440]]","[[0, 60], [435, 1065]]","[[495, 1110]]"
Hapuna-Ocean Terrace,"[[0, 180]]",[],"[[375, 1245]]","[[420, 1080]]",[],"[[735, 1020]]","[[615, 1440]]"
P. F. Chang's - Waikiki,"[[0, 75]]","[[1035, 1440]]","[[0, 135], [420, 765]]","[[1050, 1440]]","[[0, 150]]","[[960, 1440]]","[[0, 75], [1005, 1440]]"
Huggo's,"[[0, 150]]","[[630, 1440]]","[[0, 150], [435, 525]]","[[675, 975]]","[[360, 1440]]","[[0, 150], [915, 1440]]","[[360, 1440], [0, 180]]"
Hula Grill - Waikiki,"[[750, 1440]]","[[0, 75], [1020, 1440]]","[[0, 90], [720, 1185]]","[[1020, 1440]]","[[0, 90], [525, 765]]","[[750, 1440]]","[[0, 75], [765, 795]]"
Sarento's Top of the “I”,"[[0, 720]]","[[705, 1395]]","[[555, 1230]]","[[930, 1410]]","[[705, 1395]]","[[495, 1230]]","[[855, 1440]]"
The Tavern - Kauai,"[[585, 780]]","[[675, 1230]]","[[360, 915]]","[[585, 780]]","[[855, 1350]]","[[735, 1170]]","[[675, 1230]]"
Kan Zaman,"[[510, 1440]]","[[0, 195]]","[[705, 990]]","[[510, 1440]]","[[0, 195], [360, 900]]","[[915, 1440]]","[[0, 90], [420, 1200]]"
MATTEO'S OSTERIA,"[[495, 600]]","[[645, 870]]","[[1005, 1440]]","[[0, 750], [855, 900]]","[[1005, 1440]]","[[0, 750]]","[[795, 1290]]"
Son'z Steakhouse,"[[795, 1110]]","[[300, 1005]]","[[645, 990]]","[[840, 1170]]","[[300, 1440]]","[[0, 75], [480, 585]]","[[1020, 1110]]"
Pineapple Grill at Kapalua,"[[360, 1065]]","[[600, 855]]","[[870, 1440]]","[[0, 90], [345, 1440]]","[[0, 60], [840, 1005]]","[[360, 1065]]","[[1050, 1305]]"
Hy's Steak House - Waikiki,"[[465, 1020]]","[[780, 1440]]","[[0, 90], [375, 1215]]","[[780, 1440]]","[[0, 90]]",[],"[[885, 1380]]"
Hau Tree Lanai,"[[480, 645]]",[],"[[1050, 1410]]",[],"[[300, 1170]]","[[765, 1275]]",[]
Sushi Yuzu - Ko'olina,"[[810, 1125]]","[[870, 945]]","[[810, 1125]]","[[465, 510]]","[[690, 840]]","[[435, 795]]","[[300, 1350]]"
Three Fat Pigs,"[[525, 1440]]","[[0, 210], [360, 555]]","[[765, 1380]]","[[525, 1440]]","[[0, 210], [360, 555]]","[[525, 1440]]","[[0, 210], [465, 705]]"
Mi's Italian Bistro,"[[780, 1440]]","[[0, 225], [945, 1200]]","[[375, 825]]","[[555, 1440]]","[[0, 210], [630, 1440]]","[[945, 1200], [0, 90]]","[[750, 1035]]"
Mariposa at Neiman Marcus - Ala Moana,"[[0, 195]]","[[915, 1440]]","[[0, 720]]","[[1050, 1440]]","[[0, 750], [1035, 1440]]","[[0, 195], [585, 1305]]","[[1035, 1440]]"
12th Ave. Grill,"[[825, 900], [0, 225]]","[[525, 1440]]","[[0, 135], [405, 645]]","[[345, 675]]","[[945, 1440]]","[[345, 675], [0, 150]]","[[1020, 1440]]"
Bills Sydney,"[[1050, 1320], [0, 210]]","[[555, 1020]]","[[900, 1440]]","[[0, 225], [615, 1335]]","[[780, 1215]]","[[330, 435]]","[[765, 1440]]"
Wai'oli Tea Room,"[[990, 1440]]","[[0, 150], [915, 1410]]","[[345, 795]]","[[1035, 1275]]","[[690, 735]]","[[705, 1365]]","[[345, 795]]"
Bali Steak & Seafood,"[[540, 1440], [0, 60]]","[[0, 165], [915, 1110]]","[[960, 1275]]","[[885, 1260]]","[[585, 1440]]","[[960, 1275], [0, 60]]","[[585, 1440]]"
Daylight Mind Coffee Company,"[[930, 1365]]","[[330, 1275]]","[[555, 1245]]","[[555, 1215]]","[[375, 1200]]","[[555, 1215]]","[[330, 1275]]"
Morimoto - Maui,"[[600, 900]]","[[630, 1440]]","[[0, 60], [660, 1260]]","[[960, 1395]]","[[375, 690]]","[[555, 930]]","[[960, 1395]]"
Hawaii Calls - Marriott Waikoloa,"[[660, 1185]]","[[315, 930]]","[[660, 1440]]","[[660, 1185], [0, 60]]","[[435, 930]]","[[765, 810]]","[[390, 645]]"
Koa's Seaside Grill,"[[300, 1440]]","[[0, 225], [600, 735]]",[],"[[930, 1440]]","[[300, 1440], [0, 735]]","[[0, 225], [810, 1410]]","[[705, 1110]]"
Merriman's - Kapalua Maui,[],"[[1050, 1230]]","[[990, 1170]]","[[1050, 1230]]","[[570, 1440]]","[[0, 180], [435, 945]]","[[300, 360]]"
Ka'ana Kitchen at Andaz Maui,"[[0, 60]]","[[840, 1380]]","[[945, 1260]]","[[840, 1440]]","[[0, 60], [855, 990]]",[],"[[750, 1440]]"
Naupaka Terrace,"[[945, 1200], [0, 75]]","[[495, 1440]]","[[0, 165], [810, 1065]]","[[675, 930]]","[[735, 1140]]","[[855, 900]]","[[585, 1440]]"
MW Restaurant,[],[],"[[930, 1230]]","[[525, 1005]]","[[930, 1440]]","[[0, 180], [720, 1425]]","[[750, 885]]"
Ko at The Fairmont Kea Lani,"[[690, 1005]]","[[390, 690]]","[[525, 615]]","[[660, 765]]","[[945, 1095]]","[[690, 1005]]","[[345, 1350]]"
The Terrace - Four Seasons Lanai,"[[930, 1125]]","[[510, 630]]",[],"[[600, 1155]]","[[675, 1440]]","[[0, 135], [885, 1440]]","[[0, 135], [1050, 1215]]"
Gyotaku - King St.,"[[465, 870], [0, 105]]","[[615, 1215]]","[[405, 1440]]","[[0, 135], [780, 870]]","[[360, 735]]","[[615, 1215]]","[[1065, 1440]]"
Fleetwood's On Front St.,[],"[[960, 1395]]","[[840, 1335]]","[[930, 1065]]","[[840, 1335]]","[[675, 1425]]","[[930, 1065]]"
Keoki's Paradise,"[[675, 735], [0, 105]]","[[765, 1440]]","[[0, 195], [435, 1440]]","[[0, 120], [435, 1440]]","[[435, 1440], [0, 105]]","[[0, 120], [990, 1095]]","[[435, 1440]]"
Josselin's Tapas Bar and Grill,"[[660, 795]]","[[810, 975]]","[[510, 750]]","[[420, 915]]",[],"[[540, 720]]","[[810, 1305]]"
Cafe Miro,[],"[[660, 1185]]",[],"[[360, 1440]]","[[0, 165], [705, 810]]","[[420, 705]]","[[360, 885]]"
Roy's Ko'Olina,"[[825, 1350]]","[[720, 1245]]","[[990, 1410]]","[[465, 1140]]","[[990, 1410]]","[[885, 1425]]","[[330, 615]]"
Oceanarium Restaurant,"[[1020, 1320]]","[[795, 1185]]","[[735, 1305]]","[[915, 1110]]","[[795, 1185]]",[],"[[315, 1080]]"
Morimoto Waikiki,"[[555, 630]]","[[585, 1170]]","[[450, 1095]]","[[315, 690]]","[[1005, 1440]]","[[0, 135], [525, 750]]",[]
Prima,"[[0, 120]]","[[735, 1440]]","[[0, 195]]","[[930, 1440]]","[[0, 120], [735, 795]]","[[705, 720]]","[[960, 1440]]"
Maui Fish and Pasta,"[[1005, 1140]]","[[360, 570]]","[[1005, 1140]]",[],"[[465, 615]]","[[1005, 1140]]","[[570, 600]]"
Ocean Pool Bar & Grill - Westin Kaanapali Ocean Resort Villas,"[[405, 1320]]","[[705, 1140]]","[[465, 990]]","[[765, 1050]]","[[465, 990]]","[[765, 1050]]","[[705, 1140]]"
Yuzu Ala Moana,[],"[[495, 765]]",[],"[[630, 870]]","[[315, 825]]","[[1035, 1440]]","[[0, 735], [435, 735]]"
Merriman's – Waimea – Big Island,"[[870, 1320]]","[[780, 1440]]","[[0, 195]]","[[945, 1440]]","[[870, 1320], [0, 225]]","[[645, 1110]]","[[945, 1065]]"
Nanea Restaurant and Bar,"[[435, 1365], [0, 210]]","[[570, 765]]",[],"[[540, 1050]]","[[330, 405]]","[[390, 1305]]","[[480, 1440]]"
Sansei Seafood Restaurant & Sushi Bar - WAIKIKI Oahu,"[[900, 1440]]","[[0, 750], [660, 1215]]","[[330, 1170]]","[[900, 1440]]","[[0, 750]]","[[495, 1365]]","[[660, 1215]]"
Vino Italian Tapas & Wine Bar,"[[630, 870]]","[[345, 435]]","[[375, 1080]]","[[405, 1215]]","[[630, 870]]","[[315, 1440]]","[[405, 1215], [0, 90]]"
Buzz's Original Steakhouse,"[[480, 1440], [0, 75]]","[[0, 90], [660, 930]]","[[855, 915]]","[[480, 1440]]","[[0, 90], [1050, 1425]]","[[375, 1185]]","[[720, 1440]]"
VIEWS - Four Seasons Lanai,"[[900, 1320]]","[[735, 825]]","[[1005, 1170]]","[[900, 1320]]",[],"[[705, 1290]]","[[960, 1290]]"
Imari A La Carte Dining - Hilton Waikoloa Village,[],"[[420, 1245]]","[[1005, 1440]]","[[0, 750], [960, 1440]]","[[0, 720], [420, 1035]]","[[525, 1320]]","[[600, 1305]]"
Honu Seafood and Pizza - Lahaina,[],"[[300, 1320]]","[[375, 750]]","[[885, 1410]]","[[585, 630]]","[[885, 1410]]","[[960, 1140]]"
Dondero's - Grand Hyatt Kauai,"[[0, 60]]","[[510, 1440]]","[[0, 90], [900, 1170]]",[],"[[795, 1395]]","[[510, 1440]]","[[0, 75], [735, 1440]]"
Duke's Kauai,"[[915, 1275]]",[],"[[915, 1050]]",[],"[[435, 675]]","[[480, 1320]]","[[585, 945]]"
Japengo - Maui,"[[630, 675], [0, 720]]","[[735, 1035]]","[[630, 675]]","[[555, 720]]","[[810, 1380]]","[[600, 765]]","[[990, 1440]]"
Ferraro's Bar e Ristorante Maui,"[[990, 1080]]","[[450, 1335]]","[[645, 660]]","[[735, 1440]]","[[990, 1080], [0, 120]]","[[645, 660]]","[[930, 1110]]"
Sarento's on the Beach,"[[1020, 1230]]","[[840, 930]]","[[465, 570]]","[[450, 1440]]","[[0, 150], [945, 1440]]","[[0, 120], [630, 930]]","[[495, 555]]"
Sushi Bushido,"[[0, 120]]","[[705, 1440]]","[[0, 195], [300, 420]]","[[375, 1440]]","[[0, 105], [390, 720]]","[[525, 975]]","[[810, 1440]]"
Gazen Izakaya,"[[315, 945]]",[],"[[345, 465]]","[[315, 945]]","[[660, 1365]]","[[345, 465]]","[[930, 1110]]"
The Veranda at the Kahala Resort,"[[420, 750]]","[[735, 1110]]","[[480, 870]]","[[345, 1440]]","[[0, 75], [345, 600]]","[[480, 870]]","[[1035, 1125]]"
Longhi's Ala Moana,"[[840, 1155]]","[[1035, 1215]]","[[885, 1410]]","[[885, 945]]","[[960, 1080]]","[[1035, 1215]]","[[915, 1110]]"
Pagoda Floating Restaurant,"[[975, 1200]]","[[330, 1440]]","[[0, 60], [840, 1365]]",[],"[[1035, 1095]]",[],"[[675, 780]]"
Humuhumu - Grand Wailea,"[[780, 1350], [0, 720]]","[[585, 960]]",[],"[[300, 735]]","[[870, 1440]]","[[0, 720], [825, 1215]]","[[870, 1440]]"
5 Palms Restaurant,"[[360, 990], [0, 165]]","[[1050, 1095]]","[[495, 555]]","[[675, 855]]","[[915, 1440]]","[[0, 135], [900, 1440]]","[[0, 165], [870, 1440]]"
Hoku's,"[[795, 1035]]","[[630, 1125]]","[[705, 1005]]",[],"[[780, 1440]]","[[0, 75], [945, 1440]]","[[0, 60], [330, 1035]]"
Il Lupino,"[[750, 1095]]","[[915, 1410]]",[],"[[360, 1095]]","[[525, 540]]","[[420, 735]]","[[765, 1185]]"
Wai’olu Ocean View Lounge,"[[435, 1155], [0, 60]]","[[600, 1005]]","[[540, 915]]","[[720, 1260]]","[[540, 915]]","[[615, 1395]]","[[690, 1440]]"
Lahaina Fish Co.,"[[615, 1395]]","[[825, 1440]]","[[615, 1395], [0, 735]]","[[705, 1275]]","[[540, 1035]]","[[405, 1215]]","[[825, 915]]"
Ilima Terrace - Grand Hyatt Kauai,"[[540, 990]]","[[465, 1440]]","[[540, 990], [0, 150]]","[[405, 765]]","[[630, 1440]]","[[0, 135], [960, 1275]]","[[615, 1425]]"
Sushi Shiono,"[[615, 1440], [0, 735]]","[[0, 60], [795, 1440]]","[[0, 735]]","[[990, 1440]]","[[615, 1440], [0, 120]]","[[0, 60], [600, 1230]]","[[795, 1440]]"
Japengo - Waikiki,[],[],"[[630, 990]]","[[825, 1440]]","[[0, 75]]","[[630, 1365]]","[[795, 915]]"
Sansei Seafood Restaurant & Sushi Bar - WAIKOLOA Hawaii,[],"[[495, 1005]]","[[315, 780]]","[[870, 1275]]","[[765, 1050]]","[[810, 975]]","[[765, 1050]]"
'Ulu Ocean Grill and Sushi Lounge,"[[870, 1200]]","[[660, 840]]","[[795, 1440]]","[[0, 195], [600, 1440]]","[[870, 1200], [0, 195]]","[[300, 690]]","[[645, 1020]]"
Restaurant & Bar KO,"[[0, 135]]","[[990, 1320]]","[[360, 1170]]","[[795, 1440]]","[[0, 225], [375, 1125]]","[[375, 735]]","[[1035, 1440]]"
Haliimaile General Store,"[[765, 825]]","[[930, 1245]]","[[870, 1290]]","[[825, 1380]]","[[885, 1020]]","[[900, 1440]]","[[885, 1020], [0, 90]]"
Nick's Fishmarket Maui,"[[570, 1215]]",[],"[[345, 1035]]","[[525, 675]]","[[570, 1215]]","[[870, 1440]]","[[0, 750], [450, 1140]]"
